director_name,actor_1_name
Bill Condon,Benedict Cumberbatch
Bob Rafelson,Harold Perrineau
Oleg Stepchenko,Jason Flemyng
David O. Russell,Jake Gyllenhaal
Alan Shapiro,Paul Hogan
Fernando Meirelles,Archie Panjabi
Oliver Stone,Toby Jones
Mel Gibson,Christo Jivkov
Chris Columbus,Robin Williams
Barry Levinson,Tom Cruise
Clint Eastwood,Clint Eastwood
Tim Story,Bruce McGill
Mick Jackson,Bill Cobbs
Steven Spielberg,Liam Neeson
Charles Herman-Wurmfeld,Mary Lynn Rajskub
Raja Gosnell,Sarah Michelle Gellar
Adam McKay,Darcy Donavan
Ronny Yu,Katharine Isabelle
Gabor Csupo,Josh Hutcherson
John A. Davis,Martin Short
Matt Reeves,Mike Vogel
Lasse Hallström,Channing Tatum
Michael Pressman,Kevin Nash
Andy Fickman,Bailee Madison
Ethan Coen,Kelly Macdonald
Sharon Maguire,Colin Firth
Lasse Hallström,Lena Olin
Ivan Reitman,Natalie Portman
Baltasar Kormákur,J.K. Simmons
Scott Hicks,Blythe Danner
George P. Cosmatos,Michael Biehn
Andrzej Bartkowiak,Jet Li
James Wong,Chelan Simmons
Tyler Perry,Alicia Witt
Marc Forster,Johnny Depp
Joe Carnahan,Liam Neeson
John Polson,Robert De Niro
Fred Wolf,Emma Stone
Harald Zwart,Daniel Roebuck
Kirk Jones,Colin Firth
Martin Scorsese,Robert De Niro
Phillip Noyce,Jeff Bridges
Brian De Palma,Al Pacino
Steve Oedekerk,Kelly Preston
Bernardo Bertolucci,Cary-Hiroyuki Tagawa
Stephen Daldry,Meryl Streep
Brett Ratner,Heather Locklear
Paul Thomas Anderson,Jim Meskimen
Cathy Malkasian,Alfre Woodard
John Eng,Elizabeth Daily
Ken Kwapis,Mike Vogel
Malcolm D. Lee,Dave Chappelle
Chris Nahon,Jet Li
Craig Gillespie,Jon Hamm
Bille Woodruff,Alfre Woodard
Dennie Gordon,Colin Firth
Victor Salva,Nicki Aycox
Mark Helfrich,Dane Cook
Andrzej Bartkowiak,Jet Li
Andy Fickman,Channing Tatum
Steve Bendelack,Lily Atkinson
Ronny Yu,Alexis Arquette
Kirsten Sheridan,Robin Williams
Dwight H. Little,Nicholas Gonzalez
David Gordon Green,Ari Graynor
Shekhar Kapur,Fanny Ardant
Richard Fleischer,Joseph Cotten
Ivan Reitman,Jennifer Garner
Frank Darabont,Morgan Freeman
Damien Dante Wayans,Damon Wayans Jr.
Simon Wincer,Jere Burns
Bobby Farrelly,Bill Murray
Tim Fywell,Connie Ray
Troy Nixey,Bailee Madison
Sylvain White,Chris Evans
Jeremy Leven,Johnny Depp
Nigel Cole,Aimee Garcia
Spike Lee,Denzel Washington
Lee Tamahori,Anthony Hopkins
,Justin Fletcher
David R. Ellis,Chris Zylka
Paul Thomas Anderson,Adam Sandler
Jeff Schaffer,Matt Damon
Carter Smith,Laura Ramsey
Ridley Scott,Michael Fassbender
Paul Feig,Tyler James Williams
James Bridges,Dianne Wiest
Don Michael Paul,Claudia Christian
Brian Helgeland,Tom Hardy
Steve Barron,Martin Landau
Bill Paxton,Stephen Dillane
Richard Kelly,Frank Langella
John Schlesinger,Mark Valley
Wes Craven,Frank Grillo
Luke Greenfield,Chris Marquette
Ringo Lam,Natasha Henstridge
Bruce McCulloch,Martin Starr
Akiva Schaffer,Sissy Spacek
Alan Parker,Emily Watson
Andrew Adamson,Dallas Barnett
Patricia Riggen,Marco Treviño
Tobe Hooper,Frank Finlay
Robert Redford,Robin Wright
,Elizabeth Daily
Catherine Hardwicke,Heath Ledger
John Carpenter,Victor Wong
Neil Jordan,Alan Rickman
Kimberly Peirce,Joseph Gordon-Levitt
Ron Maxwell,Tom Berenger
Stephen Gaghan,Charlie Hunnam
Rod Lurie,Alexander Skarsgård
Jonathan Kaplan,John Doe
Richard Benjamin,Brendan Fraser
Craig R. Baxley,Brian Bosworth
John Hillcoat,Viggo Mortensen
Lasse Hallström,Hope Davis
John Guillermin,Tanya Roberts
Marcos Siega,Cheech Marin
J.B. Rogers,Eddie Cibrian
Roger Donaldson,Anthony Hopkins
Rachel Talalay,Naomi Watts
Jeffrey W. Byrd,Donald Faison
Fernando Meirelles,Don McKellar
Roman Polanski,Kate Winslet
Uwe Boll,Meat Loaf
Werner Herzog,Nicolas Cage
Gavin O'Connor,Natalie Portman
Richard Linklater,Zoe Kazan
Atom Egoyan,Colin Firth
Robert Towne,Billy Burke
Walter Salles,Kristen Stewart
Taylor Hackford,Scout Taylor-Compton
Jonathan English,Jason Flemyng
Mario Van Peebles,Martin Kove
Leonard Nimoy,Leonard Nimoy
Wes Craven,Omar Epps
Todd Phillips,Will Ferrell
Sylvester Stallone,Sylvester Stallone
Tim Story,Romany Malco
Jonathan Lynn,Bruce Willis
Terry Gilliam,Jeff Bridges
Danny Cannon,Muse Watson
Bonnie Hunt,Minnie Driver
Grant Heslov,Kevin Spacey
Kevin Smith,Gerry Bednob
George Gallo,Daniel Roebuck
James Mangold,Angelina Jolie Pitt
Neil LaBute,Morgan Freeman
Alexandre Aja,Adam Scott
George Tillman Jr.,Dwayne Johnson
Robert Luketic,Topher Grace
Tim Hill,Josh Charles
Brian Robbins,Oliver Platt
Douglas McGrath,Olivia Munn
Ron Shelton,Willie Garson
Steve Boyum,Paul Walker
Richard Williams,Donald Pleasence
Mary McGuckian,Robert De Niro
Ruben Fleischer,Emma Stone
Irvin Kershner,Harrison Ford
Frank Coraci,Adam Sandler
David Zucker,George Kennedy
Michael Bay,Will Smith
James Wong,Daniel Roebuck
George Clooney,Ryan Gosling
David Twohy,Vin Diesel
Tony Goldwyn,Hugh Jackman
Spike Jonze,Scarlett Johansson
John Dahl,Paul Walker
Steven Soderbergh,Channing Tatum
Wayne Wang,Natalie Portman
Mira Nair,Romola Garai
Dexter Fletcher,Hugh Jackman
Joseph Sargent,Judith Barsi
Michael Dinner,Seymour Cassel
Jerry Zaks,Leonardo DiCaprio
Andy Cadiff,Annabella Sciorra
Fred Durst,Tasha Smith
Neil Jordan,Stephen Rea
Simon Wincer,Vanessa Williams
Paul Haggis,James Franco
Anne Fontaine,Alessandro Nivola
Stephen Frears,Tom Burke
Mel Brooks,Joan Rivers
Mikael Håfström,Drew Powell
Russell Crowe,Cem Yilmaz
Jerry Zucker,Demi Moore
Bobby Farrelly,Sarah Silverman
John Pasquin,Judge Reinhold
Andy Fickman,Dwayne Johnson
John Lee Hancock,Dennis Quaid
Clint Eastwood,Clint Eastwood
Christopher Spencer,Roma Downey
Luke Greenfield,Louis Lombardi
Lasse Hallström,Manish Dayal
Richard Attenborough,Candice Bergen
Len Wiseman,Sophia Myles
Irwin Winkler,Ken Howard
David Bowers,Zachary Gordon
Jessie Nelson,Dianne Wiest
Mikael Håfström,Denis O'Hare
Steven Soderbergh,Matt Damon
Ken Scott,Jack Reynor
Ethan Coen,Scarlett Johansson
Kevin Smith,Will Ferrell
Richard Attenborough,Anthony Hopkins
Mike Bigelow,Carlos Ponce
Callie Khouri,Stephen Root
Gary Fleder,Jason Statham
Dennis Dugan,Amanda Detmer
Spike Lee,Mira Sorvino
Daniel Sackheim,Chris Noth
Camille Delamarre,Ed Skrein
Harry Elfont,Rosario Dawson
Uli Edel,Richard E. Grant
David O. Russell,Naomi Watts
Scott Cooper,Christian Bale
Fred Dekker,CCH Pounder
Hugh Wilson,Brendan Fraser
Brian Trenchard-Smith,Michael Biehn
Blake Edwards,Rock Hudson
Laurence Dunmore,Johnny Depp
Rowan Joffe,Colin Firth
John Curran,Robert De Niro
Christian Carion,Gary Lewis
William Friedkin,Roy Scheider
Laurent Tirard,Romain Duris
Tony Gilroy,Tom Wilkinson
Mark Pellington,Jeff Bridges
Woody Allen,Ornella Muti
David O. Russell,Jennifer Lawrence
Trey Parker,Minnie Driver
Clint Eastwood,Clint Eastwood
Stuart Gillard,Paige Turco
Brian Robbins,Keanu Reeves
Tyler Perry,Omari Hardwick
Richard LaGravenese,Hunter Parrish
Jeff Wadlow,Djimon Hounsou
Tomas Alfredson,Benedict Cumberbatch
Katt Shea,Jason London
Joshua Michael Stern,Madeline Carroll
Sam Mendes,Catherine O'Hara
Brad Silberling,Jake Gyllenhaal
Jodie Foster,Jennifer Lawrence
Colin Higgins,Dolly Parton
Jim Sonzero,Ian Somerhalder
Steven Spielberg,Harrison Ford
Chris Columbus,Macaulay Culkin
Steven Spielberg,Bob Balaban
Tony Scott,Dean Stockwell
James Wan,Mackenzie Foy
Adam Shankman,Angus T. Jones
Jonathan Demme,Anthony Hopkins
Penelope Spheeris,Tia Carrere
Jeff Tremaine,Bam Margera
Jeannot Szwarc,Roy Scheider
Raja Gosnell,Jamie Lee Curtis
Ben Falcone,Gary Cole
Brian Levant,Nia Long
Alexander Payne,Shailene Woodley
Richard Linklater,Miranda Cosgrove
D.J. Caruso,Sarah Roemer
Paul W.S. Anderson,Christopher Lambert
Keenen Ivory Wayans,Busy Philipps
Andrew Davis,Tim Blake Nelson
Tyler Perry,John Amos
Julie Anne Robinson,Kelly Preston
Tyler Perry,Michael Jai White
Steve McQueen,Quvenzhané Wallis
Charles Stone III,Leonard Roberts
Thea Sharrock,Sam Claflin
Jon Lucas,Mila Kunis
Tim Burton,Johnny Depp
Ava DuVernay,David Oyelowo
Aaron Seltzer,Alyson Hannigan
Robin Budd,Roger Rees
Steve Trenbirth,Haley Joel Osment
Mennan Yapo,Nia Long
Stephen Kay,Barry Watson
Jun Falkenstein,Kath Soucie
Tom McCarthy,Billy Crudup
Boaz Yakin,Jay Hernandez
Jaume Collet-Serra,Jimmy Bennett
Jason Friedberg,David Carradine
Neil LaBute,Jay Hernandez
Takashi Shimizu,Sarah Michelle Gellar
Kevin Rodney Sullivan,Richard Lawson
Peter Hewitt,Keanu Reeves
Barry Levinson,Robin Williams
Kevin Reynolds,Peter Firth
Jason Friedberg,Diedrich Bader
Gary Nelson,Robert Forster
Anton Corbijn,Violante Placido
Gregory Nava,Jon Seda
Todd Strauss-Schulson,Patton Oswalt
Michel Gondry,Kate Winslet
John Luessenhop,Gunnar Hansen
Alejandro G. Iñárritu,Brad Pitt
Shawn Levy,Tina Fey
John Patrick Shanley,Philip Seymour Hoffman
Trey Parker,Jeremy Shada
Jon Amiel,William McNamara
Jim Field Smith,Mike Vogel
Gus Van Sant,James Franco
Joshua Logan,Clint Eastwood
John Madden,Tom Wilkinson
Steve Beck,Isaiah Washington
Michael Spierig,Jay Laga'aia
Roger Donaldson,Jason Statham
Nelson McCormick,Sela Ward
Henry Joost,Samira Wiley
Stephen Frears,Drake Bell
Jessica Bendinger,Jeff Bridges
Eric Valette,Johnny Lewis
John Schlesinger,Joe Mantegna
David Ayer,Keanu Reeves
Edgar Wright,Michael Smiley
Robert Rodriguez,Quentin Tarantino
Andy Fickman,Jamie Lee Curtis
Andrew Fleming,Kay Panabaker
Anthony Bell,Kevin Sussman
Shana Feste,Alex Pettyfer
Renny Harlin,Laura Ramsey
Thomas Bezucha,Leighton Meester
Simon Wincer,Alan Rickman
Gus Van Sant,Kurtwood Smith
Robert Rodriguez,Jimmy Bennett
Ed Harris,Viggo Mortensen
Billy Ray,Julia Roberts
Mike Binder,Adam Sandler
Howard Deutch,Dane Cook
Garry Marshall,Hector Elizondo
Steve Rash,Mako
Richard Donner,Matthew Broderick
Sean Penn,Kristen Stewart
Mark Steven Johnson,Oliver Platt
Frank Nissen,Kath Soucie
Todd Phillips,Jon Heder
Michael J. Bassett,Radha Mitchell
Jodie Foster,Robert Downey Jr.
Stephen Chow,Shengyi Huang
Peter Hastings,Haley Joel Osment
Alejandro G. Iñárritu,Naomi Watts
Nimród Antal,Andrew Fiscella
Marc Forster,Mustafa Haidari
Paul Abascal,Cole Hauser
Chris Koch,Thomas Lennon
George Stevens,Martin Landau
Amy Heckerling,Andy Dick
Michael Moore,Ronald Reagan
James Mather,Joseph Gilgun
Jason Friedberg,Carmen Electra
Mark Mylod,Chris Evans
Jon Amiel,Bill Murray
Mark Neveldine,Jason Statham
John Wells,Bradley Cooper
Barry Levinson,Amy Poehler
Michael O. Sajbel,James Callis
Woody Allen,Jim Broadbent
David Koepp,Aasif Mandvi
Phillip Noyce,Brendan Fraser
John Hillcoat,Kate Winslet
Gore Verbinski,Nicolas Cage
Walter Hill,Fisher Stevens
Renny Harlin,Taylor Cole
Matt Reeves,Chloë Grace Moretz
Charles T. Kanganis,Victor Wong
Michel Gondry,Quinton Aaron
Stephen Frears,Bob Hoskins
Woody Allen,Woody Allen
Damon Santostefano,Matthew Perry
Neil Jordan,Robert De Niro
Woody Allen,Natasha Lyonne
James Wan,Aisha Tyler
Kirk Jones,Robert De Niro
Bob Clark,Scott Baio
Benson Lee,Chris Brown
Les Mayfield,Miguel Ferrer
Les Mayfield,Callum Rennie
Paul Thomas Anderson,Martin Dew
Michael Lembeck,Debbie Reynolds
Robert Rodriguez,Alexa PenaVega
Bob Fosse,Sammy Davis Jr.
Dave Borthwick,Jimmy Fallon
David Zucker,Chriss Anglin
Glen Morgan,Laura Harring
Fred Wolf,Kevin Alejandro
Alejandro Monteverde,Tom Wilkinson
Mike Leigh,Jim Broadbent
Michael Apted,Gerard Butler
J.C. Chandor,David Oyelowo
David Cronenberg,Michael Fassbender
Richard Linklater,Robert Downey Jr.
Todd Graff,Scott Porter
Uwe Boll,Catherine Lough Haggquist
Jonathan Glazer,Cameron Bright
Paul Gross,Landon Liboiron
Marc Abraham,Dylan Authors
Todd Haynes,Christian Bale
Mabrouk El Mechri,Henry Cavill
Rian Johnson,Zachary Gordon
Charlie Kaufman,Philip Seymour Hoffman
Jean-Paul Rappeneau,Isabelle Adjani
Nancy Walker,Steve Guttenberg
John Hillcoat,Ray Winstone
Richard Benjamin,Damon Wayans
Kurt Wimmer,Christian Bale
Kevin Munroe,Marco St. John
Matthew Diamond,Chazz Palminteri
Roger Spottiswoode,Radha Mitchell
James Gray,Charlize Theron
Andrew Jarecki,Ryan Gosling
Angelina Jolie Pitt,Brad Pitt
Katsuhiro Ôtomo,William Hootkins
David Anspaugh,Gerard Butler
Kevin Reynolds,Esai Morales
Julie Taymor,Djimon Hounsou
Stephen Chow,Jiao Xu
Jean-Marie Poiré,Christian Clavier
Daniel Algrant,Al Pacino
Alejandro Amenábar,Emma Watson
Wayne Thornley,Leonard Nimoy
Daniel Lee,Andy Lau
Jane Clark,Necar Zadegan
James McTeigue,Milla Jovovich
Uli Edel,Moritz Bleibtreu
John Curran,Toby Jones
Scott Walker,Nicolas Cage
Lee Tamahori,Mem Ferda
Robert Zemeckis,Lea Thompson
Kevin Costner,Mary McDonnell
Jake Kasdan,Justin Timberlake
Harold Becker,Al Pacino
Shawn Levy,Taran Killam
Tyler Perry,Eric Mendenhall
Mark Rosman,Dan Byrd
Stanley Kubrick,Scatman Crothers
Steve Beck,Shannon Elizabeth
William Malone,Jeffrey Combs
Breck Eisner,Radha Mitchell
Anand Tucker,Adam Scott
Brian Percival,Emily Watson
,Nicole 'Snooki' Polizzi
Britt Allcroft,Mara Wilson
Alan Yuen,Andy Lau
Michael Dowse,Topher Grace
Daniel Barnz,Holly Hunter
Anthony Mann,James Mason
Emile Ardolino,Darci Kistler
Robert Altman,Steve Buscemi
George A. Romero,Tony Nappo
Andrew Douglas,Jimmy Bennett
Spike Jonze,Nicolas Cage
Ricky Gervais,Jennifer Garner
Terry Gilliam,Johnny Depp
Nicholas Stoller,Craig Roberts
Chuck Russell,Peter Greene
Penny Marshall,Tom Hanks
Robert Luketic,Linda Cardellini
Mark Waters,Tina Fey
Leonard Nimoy,Leonard Nimoy
Scott Derrickson,Tom Wilkinson
Mike Mitchell,Amy Poehler
Kevin Rodney Sullivan,Harry Lennix
Thomas Bezucha,Craig T. Nelson
Terry Zwigoff,Bernie Mac
Kirk Jones,Nia Vardalos
Jay Roach,Will Ferrell
David Bowers,Zachary Gordon
Milos Forman,Jeffrey Jones
Nelson McCormick,Ming-Na Wen
Sean McNamara,Dennis Quaid
Audrey Wells,Raoul Bova
Alejandro G. Iñárritu,Emma Stone
Francis Ford Coppola,Nicolas Cage
Robert Altman,Kristin Scott Thomas
Woody Allen,Sally Hawkins
Paul Greengrass,Christian Clemenson
Bille Woodruff,Christian Monzon
Rick Friedberg,Hulk Hogan
Richard Fleischer,Mako
Jessie Nelson,Olivia Wilde
Mike Nichols,Bob Newhart
Jody Hill,Collette Wolfe
Martin Scorsese,Robert De Niro
Brandon Camp,Judy Greer
Kevin Tancharoen,Kelsey Grammer
Barry Levinson,Nicholas Rowe
Danny Boyle,James Franco
Woody Allen,Woody Allen
Nicholas Hytner,Amanda Schull
Bart Freundlich,Kristen Stewart
Irwin Winkler,Ian Somerhalder
Miguel Arteta,Steve Buscemi
Rob Reiner,Yaya DaCosta
Chris Columbus,Alan Ruck
Brian De Palma,Nancy Allen
John Boorman,Daniel Radcliffe
William A. Fraker,Jason Robards
Jason Reitman,J.K. Simmons
Courtney Solomon,Rebecca Budig
Ang Lee,Joan Allen
István Szabó,Miriam Margolyes
Jeff Kanew,Craig T. Nelson
Fabián Bielinsky,Ricardo Darín
Michael Hoffman,David Masterson
Matthew Robbins,Ian McDiarmid
Tim Burton,Johnny Depp
Guy Ritchie,Tom Hardy
Hal Needham,Barry Bostwick
Bruce Beresford,Bruce Greenwood
Jonathan Teplitzky,Jeremy Irvine
Jeff Nichols,Kirsten Dunst
Nimród Antal,James Hetfield
Woody Allen,Woody Allen
,Poppy Montgomery
D.J. Caruso,Adam Goldberg
Gregor Jordan,Austin Nichols
Tran Anh Hung,Takuya Kimura
Chuck Russell,Sam Trammell
Richard Fleischer,Ernie Reyes Jr.
Rodrigo Cortés,Robert De Niro
Greg Mottola,Emma Stone
Tyler Perry,Vanessa Ferlito
Jon M. Chu,Cassie Ventura
Cory Edwards,Anne Hathaway
Xavier Gens,Henry Ian Cusick
Terry George,Don Cheadle
Jay Chandrasekhar,Chris Moss
Kasi Lemmons,Jennifer Hudson
Matt Dillon,Kirk Fox
Alejandro Amenábar,Fionnula Flanagan
James Cameron,Michael Biehn
Luke Greenfield,Rob Riggle
Jim Gillespie,Muse Watson
George Cukor,Jeremy Brett
Alexander Payne,Virginia Madsen
Malcolm D. Lee,Harold Perrineau
Jason Moore,Anna Kendrick
Fede Alvarez,Lou Taylor Pucci
Niki Caro,Morgan Saylor
Alexandre Aja,Dan Byrd
Michael Lehmann,Emmanuelle Vaugier
Joe Carnahan,Ryan Reynolds
John Fortenberry,Will Ferrell
Daniel Barnz,Alex Pettyfer
Erik White,Brandon T. Jackson
Sam Weisman,Kevin Grevioux
Chris Robinson,T.I.
Michael Tollin,Marc Blucas
Sam Raimi,Gary Cole
Trent Cooper,Thomas F. Wilson
Gary Halvorson,Vanessa Williams
Sidney J. Furie,Jim Broadbent
Nicholas Ray,Ava Gardner
Donald Petrie,Nia Vardalos
Paul Weitz,Judy Greer
Ian Iqbal Rashid,DeRay Davis
Wayne Kramer,Paul Walker
Todd Lincoln,Julianna Guill
Rowdy Herrington,Aidan Quinn
Jim Goddard,Victor Wong
Noel Marshall,Tippi Hedren
Richard Kelly,Janeane Garofalo
Andrea Di Stefano,Josh Hutcherson
Cyrus Nowrasteh,Clive Russell
Steven Shainberg,Robert Downey Jr.
Howard Zieff,Macaulay Culkin
Oliver Stone,Hal Holbrook
Ang Lee,Alan Rickman
Julian Jarrold,Anne Hathaway
Vadim Perelman,Frances Fisher
Joe Nussbaum,Danny Strong
Peter Weir,Robin Williams
Peter Farrelly,Lauren Holly
Rob Reiner,Bruno Kirby
Todd Phillips,Ethan Suplee
Sidney Lumet,Charlotte Rampling
Brian Robbins,Paul Walker
Wes Anderson,Bruce Willis
Michel Hazanavicius,Bérénice Bejo
David S. Goyer,Gary Oldman
Perry Andelin Blake,Jennifer Esposito
Jonathan Liebesman,Matt Bomer
Christian E. Christiansen,Leighton Meester
John Whitesell,Leslie Bibb
Sheldon Lettich,Bolo Yeung
John Singleton,Mo'Nique
Dennie Gordon,Brittany Daniel
Diane English,Jada Pinkett Smith
Edgar Wright,Bill Bailey
Woody Allen,Scarlett Johansson
Allen Coulter,Robert Pattinson
Peter Kosminsky,Patrick Fugit
Karyn Kusama,J.K. Simmons
Nick Gomez,Will Ferrell
Woody Allen,Mike Starr
Clare Kilner,Dylan Baker
Jessy Terrero,Mo'Nique
Richard Benjamin,Jon Lovitz
Josef Rusnak,Gretchen Mol
Lance Rivera,Farrah Fawcett
Russell Mulcahy,Christopher Lambert
Woody Allen,Woody Allen
Bruce Paltrow,Lochlyn Munro
Adam Rifkin,Natasha Lyonne
Susanne Bier,Alison Lohman
Tommy Lee Jones,Barry Corbin
James Gray,Jeremy Renner
Kenneth Johnson,Charles Napier
James Ivory,Vanessa Redgrave
Gaspar Noé,Paz de la Huerta
Vicente Amorim,Viggo Mortensen
Lasse Hallström,Cary-Hiroyuki Tagawa
Jérôme Salle,Orlando Bloom
Jesse Vaughan,Vivica A. Fox
Atom Egoyan,David Alpay
Wayne Beach,Mekhi Phifer
William Bindley,Bruce Dern
Udayan Prasad,Kristen Stewart
Gérard Krawczyk,Carole Bouquet
James Gunn,Dustin Milligan
Chris Columbus,Macaulay Culkin
Martin Brest,Judge Reinhold
Tony Scott,Tom Cruise
Sydney Pollack,Bill Murray
Leonard Nimoy,Tom Selleck
Tom Hooper,Colin Firth
Sam Mendes,Kevin Spacey
Ang Lee,Chen Chang
Ivan Reitman,Kelly Preston
Wes Craven,David Arquette
Steven Spielberg,Oprah Winfrey
Morten Tyldum,Benedict Cumberbatch
Tim Burton,Catherine O'Hara
Andrés Muschietti,Javier Botet
Howard Zieff,Eileen Brennan
Michael Apted,Sissy Spacek
Thor Freudenthal,Chloë Grace Moretz
Stephen Frears,Roger Allam
Tyler Perry,Michael Jai White
James Watkins,Daniel Radcliffe
Gillian Armstrong,Christian Bale
Michael Cimino,Robert De Niro
Simon West,Madeline Carroll
Shawn Levy,Frankie Muniz
James Mangold,Robert De Niro
Jim Fall,Clayton Snyder
Michael Dougherty,Adam Scott
David Ayer,Jake Gyllenhaal
Robert Rodriguez,Jordana Brewster
Brian Gibson,Rae'Ven Kelly
Joel Gallen,Chris Evans
Jean-Marc Vallée,Michiel Huisman
David Lean,Claude Rains
James Marsh,Eddie Redmayne
Nicolas Winding Refn,Ryan Gosling
Rob Cohen,Paul Walker
John Whitesell,Greg Grunberg
Phil Traill,Bradley Cooper
Matt Williams,Natalie Portman
Wayne Wang,Cicely Tyson
Rob Reiner,Robin Wright
Rick Rosenthal,Jamie Lee Curtis
Denzel Washington,Denzel Washington
Thomas Carter,Jessie T. Usher
Sara Sugarman,Adam Garcia
Nicholas Hytner,Liam Aiken
Juan Carlos Fresnadillo,Jeremy Renner
George Armitage,Minnie Driver
Gina Prince-Bythewood,Alfre Woodard
Joe Berlinger,Kim Director
Paul Thomas Anderson,Don Cheadle
Elizabeth Allen Rosenbaum,Sierra McCormick
Roger Donaldson,Luke Bracey
Andrew Fleming,Christine Taylor
Woody Allen,Scarlett Johansson
James Ivory,Anthony Hopkins
Robert Harmon,Kieran Culkin
John Ottman,Loretta Devine
Derek Cianfrance,Ryan Gosling
Michael Mayer,Alison Lohman
Martin Weisz,Jeff Kober
Peter Atencio,Nia Long
Shana Feste,Leighton Meester
Jay Russell,William Hurt
David Nutter,Bruce Greenwood
Joel Coen,Philip Seymour Hoffman
Anton Corbijn,Philip Seymour Hoffman
Kathryn Bigelow,Jeremy Renner
Stephan Elliott,Jason Priestley
RZA,Rick Yune
Andrew Dominik,Brad Pitt
Tom Green,Rip Torn
Lone Scherfig,Anne Hathaway
Irwin Winkler,Kevin McNally
Drew Barrymore,Daniel Stern
Mike Nawrocki,Yuri Lowenthal
Catherine Owens,Bono
Douglas Aarniokoski,Christopher Lambert
Bryan Barber,Cicely Tyson
James Foley,Louis Lombardi
Brian Koppelman,Vin Diesel
Steve Gomer,Trevor Morgan
Woody Allen,Woody Allen
Mark Piznarski,Bruce Greenwood
Sean McNamara,Oliver James
Terry Gilliam,Robert De Niro
Craig Brewer,Justin Timberlake
Ron Shelton,Khandi Alexander
Tina Gordon Chism,Tyler James Williams
Michael Winterbottom,Angelina Jolie Pitt
David Raynr,James Franco
Mort Nathan,Vivica A. Fox
Oliver Parker,Colin Firth
Wil Shriner,Logan Lerman
Martin McDonagh,Elizabeth Berrington
Gus Van Sant,Matt Damon
David Lynch,Naomi Watts
Peter Cattaneo,Emma Stone
Vicky Jenson,J.K. Simmons
Woody Allen,Larry David
Mary Lambert,Matthew Settle
Peter Kassovitz,Robin Williams
Shane Black,Robert Downey Jr.
Rodman Flender,Vivica A. Fox
Katja von Garnier,Olivier Martinez
Woody Allen,Anthony Hopkins
Mark Romanek,Andrew Garfield
Brad Anderson,Thomas Kretschmann
Antonio Banderas,Meat Loaf
Michael Chapman,Curtis Armstrong
Michael Haneke,Naomi Watts
Atom Egoyan,Bob Hoskins
Fritz Lang,Brigitte Helm
Gary Fleder,Steve Buscemi
Andrey Zvyagintsev,Konstantin Lavronenko
Gregor Jordan,Dean Stockwell
Neil Marshall,Michael Fassbender
Tony Jaa,Nirut Sirichanya
Russell Mulcahy,Christopher Heyerdahl
Ryûhei Kitamura,Bradley Cooper
Darrell Roodt,Jennifer Hudson
Dito Montiel,Channing Tatum
Stefan Ruzowitzky,Eddie Izzard
Jake Paltrow,Stephen Graham
Anthony Silverston,Liam Neeson
Daniele Luchetti,Maximilian Dirr
Gerry Lively,Bruce Payne
Gabe Ibáñez,Birgitte Hjort Sørensen
Vidhu Vinod Chopra,María Valverde
Harold Ramis,Bill Murray
Gregory Jacobs,Matt Bomer
Peter Cousens,Sharon Leal
Clint Eastwood,Clint Eastwood
Lars von Trier,Bryce Dallas Howard
Garry Marshall,Julia Roberts
Adrian Lyne,Fred Gwynne
Danny Boyle,Anil Kapoor
John Blanchard,Martin Short
Oliver Stone,Tom Cruise
Jon Turteltaub,Doug E. Doug
Sylvain White,Chris Brown
Patrick Lussier,Jensen Ackles
Ted Kotcheff,Sylvester Stallone
Lewis Gilbert,Caroline Munro
Jamie Blanks,Alicia Witt
Randal Kleiser,Seymour Cassel
Bruce McCulloch,Will Ferrell
Phyllida Lloyd,Meryl Streep
John Singleton,Janet Jackson
Mike Nawrocki,Phil Vischer
Kevin Bray,Mike Epps
John Boorman,Linda Blair
Rick Famuyiwa,America Ferrera
Wes Craven,John Witherspoon
Courtney Solomon,Sissy Spacek
David Zucker,Carmen Electra
David Twohy,Chris Hemsworth
Tom Holland,Joe Mantegna
Alan Cohn,Alyson Hannigan
Franco Zeffirelli,Lily Tomlin
Martin Scorsese,Robert De Niro
James Isaac,Peter Mensah
Spike Lee,Alfre Woodard
Chris Rock,Steve Buscemi
Steve Pink,Adam Scott
Emilio Estevez,Anthony Hopkins
Mark Waters,Monica Potter
Josh Schwartz,Thomas McDonell
Todd Field,Kate Winslet
Davis Guggenheim,Norman Reedus
Tony Goldwyn,Viggo Mortensen
Phillip Noyce,Derek Luke
Mike Leigh,Lesley Manville
Stephen Carpenter,Melissa Sagemiller
Stephan Elliott,Colin Firth
James Ivory,Seth Gilliam
Rob Reiner,Madeline Carroll
James Fargo,Christopher Lee
Costa-Gavras,Sebastian Koch
Neil Burger,John Heard
Kenneth Lonergan,Matt Damon
Chao-Bin Su,Woo-sung Jung
Ang Lee,Jake Gyllenhaal
Amy Heckerling,Donald Faison
Todd Haynes,Dennis Quaid
Martin McDonagh,Abbie Cornish
Philip Kaufman,Kate Winslet
Oliver Hirschbiegel,Thomas Kretschmann
Kasi Lemmons,Colm Feore
Hyung-rae Shim,Jason Mewes
Jonathan Glazer,Scarlett Johansson
Sam Miller,Leslie Bibb
Barry Levinson,Robin Williams
Darren Aronofsky,Natalie Portman
Thomas Carter,Sean Patrick Thomas
